"CustNo";"CliLbl";"TypCli";"Ville";"Secteur";"Dt1erAchat"
"C0080";"Jean MARTIN";"Particulier";"Lyon";"Sud-Est";"22-11-2019"
"C0081";"Club sportif Nantes";"Club";"Nantes";"Sud-Est";"09-10-2019"
"C0082";"Marie DUBOIS";"Particulier";"Lyon";"Nord-Ouest";"24-12-2023"
"C0083";"Ste ROBERT";"Entreprise";"Metz";"Nord-Est";"03-02-2023"
"C0084";"Léa RICHARD";"Particulier";"Toulouse";"Nord-Est";"22-03-2020"
"C0085";"Nicolas PETIT";"Particulier";"Dijon";"Île-de-France";"31-05-2023"
"C0086";"Club sportif Grenoble";"Club";"Grenoble";"Île-de-France";"25-10-2021"
"C0087";"Julien LEFEBVRE";"Particulier";"Tours";"Nord-Ouest";"27-04-2020"
"C0088";"Camille MOREAU";"Particulier";"Pau";"Île-de-France";"11-10-2022"
"C0089";"Antoine GARCIA";"Particulier";"Nancy";"Sud-Ouest";"08-05-2022"
"C0090";"Émilie DAVID";"Particulier";"Bordeaux";"Nord-Est";"20-09-2021"
"C0091";"Lucas BERTRAND";"Particulier";"Bordeaux";"Nord-Est";"21-09-2020"
"C0092";"Chloé ROUX";"Particulier";"Marseille";"Île-de-France";"15-04-2021"
"C0093";"Maxime SIMON";"Particulier";"Metz";"Sud-Ouest";"13-09-2019"
"C0094";"Manon MICHEL";"Particulier";"Pau";"Île-de-France";"26-08-2022"
"C0095";"Ste LEROY";"Entreprise";"Marseille";"Sud-Est";"21-11-2022"
"C0096";"Club sportif Annecy";"Club";"Annecy";"Île-de-France";"20-04-2019"
"C0097";"Pierre BERNARD";"Particulier";"Lille";"Nord-Est";"18-09-2020"
"C0098";"Laura DUBOIS";"Particulier";"Montpellier";"Nord-Est";"29-04-2019"
"C0099";"Rémi ROBERT";"Particulier";"Nancy";"Île-de-France";"06-03-2021"
"C0100";"Ste RICHARD";"Entreprise";"Grenoble";"Sud-Ouest";"05-10-2020"
"C0101";"Claire PETIT";"Particulier";"Paris";"Sud-Est";"27-11-2021"
"C0102";"Ville de Strasbourg";"Collectivité";"Strasbourg";"Nord-Est";"15-02-2023"
"C0103";"Thomas LEFEBVRE";"Particulier";"Bordeaux";"Sud-Est";"17-10-2023"
"C0104";"Léa MOREAU";"Particulier";"Lille";"Sud-Ouest";"12-12-2020"
"C0105";"Club sportif Grenoble";"Club";"Grenoble";"Nord-Est";"15-01-2020"
"C0106";"Ville de Nice";"Collectivité";"Nice";"Nord-Ouest";"23-02-2019"
"C0107";"Club sportif Bayonne";"Club";"Bayonne";"Sud-Est";"10-12-2022"
"C0108";"Camille ROUX";"Particulier";"Annecy";"Sud-Est";"03-03-2023"
"C0109";"Antoine SIMON";"Particulier";"Nantes";"Sud-Est";"11-01-2023"
"C0110";"Émilie MICHEL";"Particulier";"Chamonix";"Nord-Est";"28-05-2023"
"C0111";"Lucas LEROY";"Particulier";"Rennes";"Sud-Ouest";"18-11-2023"
"C0112";"Chloé MARTIN";"Particulier";"Nice";"Île-de-France";"19-11-2023"
"C0113";"Maxime BERNARD";"Particulier";"Lyon";"Sud-Est";"19-05-2023"
"C0114";"Manon DUBOIS";"Particulier";"Bayonne";"Île-de-France";"22-11-2023"
"C0115";"Hugo ROBERT";"Particulier";"Limoges";"Sud-Ouest";"26-12-2019"
"C0116";"Julie RICHARD";"Particulier";"Bordeaux";"Île-de-France";"07-12-2020"
"C0117";"Pierre PETIT";"Particulier";"Paris";"Sud-Est";"15-07-2020"
"C0118";"Club sportif Annecy";"Club";"Annecy";"Nord-Est";"06-08-2022"
"C0119";"Ville de Marseille";"Collectivité";"Marseille";"Sud-Ouest";"06-12-2021"
"C0120";"Jean MOREAU";"Particulier";"Toulouse";"Nord-Ouest";"25-08-2021"
"C0121";"Claire GARCIA";"Particulier";"Bayonne";"Sud-Est";"20-01-2020"
"C0122";"Marie DAVID";"Particulier";"Nancy";"Sud-Ouest";"20-01-2021"
"C0123";"Ste BERTRAND";"Entreprise";"Rouen";"Nord-Est";"04-06-2021"
"C0124";"Léa ROUX";"Particulier";"Nancy";"Nord-Ouest";"05-02-2019"
"C0125";"Ste SIMON";"Entreprise";"Clermont-Ferrand";"Île-de-France";"29-09-2022"
"C0126";"Sophie MICHEL";"Particulier";"Marseille";"Nord-Ouest";"01-05-2019"
"C0127";"Ste LEROY";"Entreprise";"Annecy";"Sud-Ouest";"15-04-2023"
"C0128";"Ste MARTIN";"Entreprise";"Pau";"Sud-Est";"05-04-2021"
"C0129";"Antoine BERNARD";"Particulier";"Rennes";"Sud-Ouest";"27-04-2023"
"C0130";"Émilie DUBOIS";"Particulier";"Nantes";"Nord-Est";"16-10-2021"
"C0131";"Lucas ROBERT";"Particulier";"Rennes";"Île-de-France";"13-08-2019"
"C0132";"Ste RICHARD";"Entreprise";"Tours";"Sud-Est";"24-05-2019"
"C0133";"Ste PETIT";"Entreprise";"Nancy";"Sud-Est";"02-08-2022"
"C0134";"Club sportif Reims";"Club";"Reims";"Nord-Est";"28-11-2019"
"C0135";"Hugo LEFEBVRE";"Particulier";"Rouen";"Nord-Ouest";"20-06-2020"
"C0136";"Julie MOREAU";"Particulier";"Paris";"Île-de-France";"16-06-2019"
"C0137";"Ste GARCIA";"Entreprise";"Rouen";"Nord-Est";"08-11-2022"
"C0138";"Laura DAVID";"Particulier";"Rennes";"Île-de-France";"29-09-2021"
"C0139";"Rémi BERTRAND";"Particulier";"Paris";"Sud-Est";"10-02-2019"
"C0140";"Club sportif Lyon";"Club";"Lyon";"Nord-Est";"28-04-2020"
"C0141";"Claire SIMON";"Particulier";"Pau";"Sud-Ouest";"28-11-2023"
"C0142";"Marie MICHEL";"Particulier";"Annecy";"Sud-Est";"18-01-2023"
"C0143";"Thomas LEROY";"Particulier";"Tours";"Nord-Ouest";"17-08-2023"
"C0144";"Léa MARTIN";"Particulier";"Bayonne";"Île-de-France";"01-11-2019"
"C0145";"Club sportif Nantes";"Club";"Nantes";"Nord-Ouest";"26-03-2020"
"C0146";"Sophie DUBOIS";"Particulier";"Metz";"Nord-Est";"04-11-2021"
"C0147";"Julien ROBERT";"Particulier";"Nice";"Nord-Ouest";"17-12-2022"
"C0148";"Ville de Lyon";"Collectivité";"Lyon";"Île-de-France";"26-06-2021"
"C0149";"Antoine PETIT";"Particulier";"Annecy";"Sud-Ouest";"03-12-2019"
"C0150";"Émilie DURAND";"Particulier";"Dijon";"Nord-Est";"21-07-2023"
"C0151";"Ste LEFEBVRE";"Entreprise";"Bordeaux";"Île-de-France";"21-08-2020"
"C0152";"Chloé MOREAU";"Particulier";"Clermont-Ferrand";"Île-de-France";"25-04-2022"
"C0153";"Maxime GARCIA";"Particulier";"Montpellier";"Nord-Est";"23-02-2021"
"C0154";"Ste DAVID";"Entreprise";"Paris";"Sud-Est";"03-11-2021"
"C0155";"Club sportif Rennes";"Club";"Rennes";"Île-de-France";"20-06-2023"
"C0156";"Club sportif Paris";"Club";"Paris";"Sud-Ouest";"21-06-2019"
"C0157";"Pierre SIMON";"Particulier";"Bayonne";"Île-de-France";"20-02-2019"
"C0158";"Ste MICHEL";"Entreprise";"Rennes";"Nord-Est";"19-04-2020"
"C0159";"Rémi LEROY";"Particulier";"Nantes";"Nord-Ouest";"07-08-2020"
"C0160";"Jean MARTIN";"Particulier";"Limoges";"Île-de-France";"28-07-2023"
"C0161";"Claire BERNARD";"Particulier";"Reims";"Nord-Ouest";"16-07-2021"
"C0162";"Ste DUBOIS";"Entreprise";"Annecy";"Sud-Est";"31-10-2021"
"C0163";"Thomas ROBERT";"Particulier";"Nantes";"Île-de-France";"21-05-2022"
"C0164";"Léa RICHARD";"Particulier";"Lyon";"Nord-Est";"13-02-2019"
"C0165";"Nicolas PETIT";"Particulier";"Montpellier";"Nord-Est";"24-06-2020"
"C0166";"Sophie DURAND";"Particulier";"Montpellier";"Sud-Est";"28-02-2019"
"C0167";"Julien LEFEBVRE";"Particulier";"Paris";"Nord-Est";"11-12-2021"
"C0168";"Camille MOREAU";"Particulier";"Rennes";"Nord-Ouest";"08-03-2019"
"C0169";"Ste GARCIA";"Entreprise";"Rouen";"Nord-Ouest";"14-09-2019"
"C0170";"Émilie DAVID";"Particulier";"Rennes";"Nord-Est";"12-03-2020"
"C0171";"Lucas BERTRAND";"Particulier";"Metz";"Sud-Est";"17-11-2021"
"C0172";"Ste ROUX";"Entreprise";"Strasbourg";"Nord-Ouest";"29-11-2019"
"C0173";"Maxime SIMON";"Particulier";"Bordeaux";"Sud-Ouest";"31-12-2022"
"C0174";"Manon MICHEL";"Particulier";"Nice";"Sud-Ouest";"23-11-2019"
"C0175";"Club sportif Rennes";"Club";"Rennes";"Nord-Est";"22-11-2023"
"C0176";"Ste MARTIN";"Entreprise";"Annecy";"Sud-Ouest";"26-11-2023"
"C0177";"Pierre BERNARD";"Particulier";"Lille";"Sud-Ouest";"05-12-2020"
"C0178";"Ste DUBOIS";"Entreprise";"Annecy";"Île-de-France";"21-06-2019"
"C0179";"Rémi ROBERT";"Particulier";"Metz";"Nord-Est";"07-01-2020"
"C0180";"Club sportif Nice";"Club";"Nice";"Nord-Est";"04-05-2023"
"C0181";"Claire PETIT";"Particulier";"Paris";"Île-de-France";"01-09-2020"
"C0182";"Marie DURAND";"Particulier";"Montpellier";"Nord-Ouest";"20-05-2022"
"C0183";"Club sportif Grenoble";"Club";"Grenoble";"Nord-Ouest";"23-10-2019"
"C0184";"Léa MOREAU";"Particulier";"Nice";"Nord-Ouest";"19-09-2019"
"C0185";"Ste GARCIA";"Entreprise";"Limoges";"Île-de-France";"29-10-2021"
"C0186";"Sophie DAVID";"Particulier";"Metz";"Nord-Ouest";"29-06-2019"
"C0187";"Club sportif Pau";"Club";"Pau";"Île-de-France";"30-01-2023"
"C0188";"Camille ROUX";"Particulier";"Rouen";"Nord-Ouest";"31-03-2022"
"C0189";"Antoine SIMON";"Particulier";"Nantes";"Nord-Ouest";"29-08-2023"
"C0190";"Émilie MICHEL";"Particulier";"Reims";"Île-de-France";"21-08-2021"
"C0191";"Ville de Marseille";"Collectivité";"Marseille";"Île-de-France";"21-03-2023"
"C0192";"Club sportif Rennes";"Club";"Rennes";"Sud-Ouest";"19-06-2019"
"C0193";"Maxime BERNARD";"Particulier";"Chamonix";"Nord-Ouest";"29-05-2019"
"C0194";"Manon DUBOIS";"Particulier";"Clermont-Ferrand";"Nord-Ouest";"12-03-2023"
"C0195";"Hugo ROBERT";"Particulier";"Rennes";"Île-de-France";"27-04-2022"
"C0196";"Ville de Dijon";"Collectivité";"Dijon";"Sud-Est";"24-10-2019"
"C0197";"Pierre PETIT";"Particulier";"Rouen";"Sud-Ouest";"08-03-2023"
"C0198";"Ste DURAND";"Entreprise";"Strasbourg";"Île-de-France";"05-07-2020"
"C0199";"Rémi LEFEBVRE";"Particulier";"Annecy";"Île-de-France";"28-07-2021"
"C0200";"Jean MOREAU";"Particulier";"Strasbourg";"Nord-Ouest";"19-03-2021"
"C0201";"Ste GARCIA";"Entreprise";"Lille";"Nord-Ouest";"28-05-2019"
"C0202";"Marie DAVID";"Particulier";"Nantes";"Nord-Est";"17-10-2022"
"C0203";"Thomas BERTRAND";"Particulier";"Strasbourg";"Nord-Ouest";"25-12-2019"
"C0204";"Léa ROUX";"Particulier";"Metz";"Île-de-France";"01-03-2021"
"C0205";"Nicolas SIMON";"Particulier";"Strasbourg";"Nord-Est";"11-05-2019"
"C0206";"Sophie MICHEL";"Particulier";"Lyon";"Nord-Est";"06-04-2019"
"C0207";"Julien LEROY";"Particulier";"Chamonix";"Sud-Ouest";"23-01-2022"
"C0208";"Ville de Tours";"Collectivité";"Tours";"Île-de-France";"21-01-2020"
"C0209";"Ville de Lyon";"Collectivité";"Lyon";"Sud-Ouest";"13-11-2021"
"C0210";"Émilie DUBOIS";"Particulier";"Clermont-Ferrand";"Sud-Ouest";"21-10-2020"
"C0211";"Lucas ROBERT";"Particulier";"Lyon";"Sud-Est";"10-05-2021"
"C0212";"Chloé RICHARD";"Particulier";"Lille";"Nord-Ouest";"09-09-2020"
"C0213";"Maxime PETIT";"Particulier";"Marseille";"Sud-Ouest";"11-03-2023"
"C0214";"Manon DURAND";"Particulier";"Nantes";"Sud-Ouest";"28-09-2022"
"C0215";"Hugo LEFEBVRE";"Particulier";"Bordeaux";"Sud-Est";"08-11-2020"
"C0216";"Julie MOREAU";"Particulier";"Lille";"Sud-Ouest";"08-12-2020"
"C0217";"Ste GARCIA";"Entreprise";"Grenoble";"Nord-Ouest";"10-10-2023"
"C0218";"Laura DAVID";"Particulier";"Chamonix";"Nord-Ouest";"09-12-2023"
"C0219";"Rémi BERTRAND";"Particulier";"Pau";"Île-de-France";"22-08-2020"
"C0220";"Jean ROUX";"Particulier";"Tours";"Sud-Ouest";"04-02-2019"
